"","ind","ref","param","RSF_estimate"
"Prey_predicted232","Fish72","Ref","Prey_predicted",-1.56097714757098
"Prey_predicted233","Fish72","Ref","Prey_predicted",2.78323855549901
"Prey_predicted234","Fish72","Ref","Prey_predicted",-0.142780203360391
"Prey_predicted235","Fish72","Ref","Prey_predicted",0.116636352413306
"Prey_predicted236","Fish72","Ref","Prey_predicted",0.523203352126919
"Prey_predicted237","Fish72","Ref","Prey_predicted",-0.96437345173724
"Prey_predicted238","Fish72","Ref","Prey_predicted",1.56294939756827
"Prey_predicted239","Fish72","Ref","Prey_predicted",-0.593676111217158
"Prey_predicted240","Fish72","Ref","Prey_predicted",-0.793231265481319
"Prey_predicted241","Fish72","Ref","Prey_predicted",-0.998577439934373
"Prey_predicted242","Fish72","Ref","Prey_predicted",0.382968501325049
"Prey_predicted243","Fish72","Ref","Prey_predicted",-0.741182809945971
"Prey_predicted244","Fish72","Ref","Prey_predicted",0.037765092502299
"Prey_predicted245","Fish72","Ref","Prey_predicted",0.343939274116554
"Prey_predicted246","Fish72","Ref","Prey_predicted",0.626986600958718
"Prey_predicted247","Fish72","Ref","Prey_predicted",0.480275517417661
"Prey_predicted248","Fish72","Ref","Prey_predicted",-0.985373939089831
"Prey_predicted249","Fish72","Ref","Prey_predicted",1.8564357165524
"Prey_predicted250","Fish72","Ref","Prey_predicted",-0.313750693934516
"Prey_predicted251","Fish72","Ref","Prey_predicted",0.451043325030608
"Prey_predicted252","Fish72","Ref","Prey_predicted",-1.46972668814607
"Prey_predicted253","Fish72","Ref","Prey_predicted",0.256342582159435
"Prey_predicted254","Fish72","Ref","Prey_predicted",0.208460190772156
"Prey_predicted255","Fish72","Ref","Prey_predicted",0.00659671651507081
"Prey_predicted256","Fish72","Ref","Prey_predicted",0.779280468665294
"Prey_predicted257","Fish72","Ref","Prey_predicted",-0.91275611627987
"Prey_predicted258","Fish72","Ref","Prey_predicted",-0.760913836136401
"Prey_predicted259","Fish72","Ref","Prey_predicted",-2.11535603075745
"Prey_predicted260","Fish72","Ref","Prey_predicted",0.340350261006847
"Prey_predicted261","Fish72","Ref","Prey_predicted",0.0329433249716441
"Prey_predicted262","Fish72","Ref","Prey_predicted",-0.201825067868577
"Prey_predicted263","Fish72","Ref","Prey_predicted",-0.987866714618352
"Prey_predicted264","Fish72","Ref","Prey_predicted",0.293973776239156
"Prey_predicted265","Fish72","Ref","Prey_predicted",0.908118218112547
"Prey_predicted266","Fish72","Ref","Prey_predicted",-0.99453649066875
"Prey_predicted267","Fish72","Ref","Prey_predicted",1.64144891895317
"Prey_predicted268","Fish72","Ref","Prey_predicted",-0.784258536899677
"Prey_predicted269","Fish72","Ref","Prey_predicted",0.627399140955276
